"site_ID","Camera","Taxon","Size_class","spsize","MaxN","uniqueCam"
"hale_hinalea","deep_37","Parupeneus multifasciatus","10_19","Parupeneus multifasciatus_10_19",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Scarus psittacus","20_29","Scarus psittacus_20_29",4,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Stethojulis balteata","10_19","Stethojulis balteata_10_19",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Thalassoma duperrey","10_19","Thalassoma duperrey_10_19",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Thalassoma duperrey","20_29","Thalassoma duperrey_20_29",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Zanclus cornutus","10_19","Zanclus cornutus_10_19",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Zanclus cornutus","20_29","Zanclus cornutus_20_29",1,"hale_hinalea_deep_37"
"hale_hinalea","deep_37","Zebrasoma velifer","10_19","Zebrasoma velifer_10_19",1,"hale_hinalea_deep_37"
"hale_hinalea","shallow_16","Abudefduf abdominalis","10_19","Abudefduf abdominalis_10_19",4,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Abudefduf abdominalis","5_9","Abudefduf abdominalis_5_9",10,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Acanthurus blochii","10_19","Acanthurus blochii_10_19",2,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Acanthurus blochii","20_29","Acanthurus blochii_20_29",2,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Acanthurus nigroris","10_19","Acanthurus nigroris_10_19",4,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Acanthurus nigroris","20_29","Acanthurus nigroris_20_29",1,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Acanthurus triostegus","10_19","Acanthurus triostegus_10_19",2,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Acanthurus triostegus","5_9","Acanthurus triostegus_5_9",1,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Chaetodon auriga","10_19","Chaetodon auriga_10_19",2,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Chaetodon ephippium","10_19","Chaetodon ephippium_10_19",4,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Chaetodon lunulatus","10_19","Chaetodon lunulatus_10_19",2,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Chlorurus spilurus","10_19","Chlorurus spilurus_10_19",13,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Chlorurus spilurus","20_29","Chlorurus spilurus_20_29",2,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Chlorurus spilurus","5_9","Chlorurus spilurus_5_9",2,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Ctenochaetus strigosus","10_19","Ctenochaetus strigosus_10_19",1,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Gomphosus varius","10_19","Gomphosus varius_10_19",3,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Gomphosus varius","20_29","Gomphosus varius_20_29",2,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Mulloidichthys flavolineatus","10_19","Mulloidichthys flavolineatus_10_19",1,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Scarus psittacus","10_19","Scarus psittacus_10_19",3,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Stethojulis balteata","10_19","Stethojulis balteata_10_19",3,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Stethojulis balteata","20_29","Stethojulis balteata_20_29",1,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Thalassoma duperrey","10_19","Thalassoma duperrey_10_19",5,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Thalassoma duperrey","20_29","Thalassoma duperrey_20_29",1,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Thalassoma purpureum","10_19","Thalassoma purpureum_10_19",1,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Zebrasoma flavescens","10_19","Zebrasoma flavescens_10_19",3,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Zebrasoma flavescens","5_9","Zebrasoma flavescens_5_9",1,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Zebrasoma velifer","10_19","Zebrasoma velifer_10_19",2,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_16","Zebrasoma velifer","20_29","Zebrasoma velifer_20_29",1,"hale_hinalea_shallow_16"
"hale_hinalea","shallow_50","Abudefduf abdominalis","10_19","Abudefduf abdominalis_10_19",1,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Abudefduf abdominalis","5_9","Abudefduf abdominalis_5_9",2,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Abudefduf sordidus","20_29","Abudefduf sordidus_20_29",2,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Acanthurus nigroris","10_19","Acanthurus nigroris_10_19",5,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Acanthurus nigroris","20_29","Acanthurus nigroris_20_29",3,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Acanthurus triostegus","10_19","Acanthurus triostegus_10_19",6,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Calotomus carolinus","10_19","Calotomus carolinus_10_19",6,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Chaetodon auriga","10_19","Chaetodon auriga_10_19",1,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Chaetodon ephippium","10_19","Chaetodon ephippium_10_19",2,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Chaetodon lunulatus","10_19","Chaetodon lunulatus_10_19",2,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Chlorurus spilurus","10_19","Chlorurus spilurus_10_19",8,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Chlorurus spilurus","20_29","Chlorurus spilurus_20_29",1,"hale_hinalea_shallow_50"
"hale_hinalea","shallow_50","Ctenochaetus strigosus","10_19","Ctenochaetus strigosus_10_19",2,"hale_hinalea_shallow_50"
