"site_ID","cam","Taxon","Size_class","shapeT","scaleT","lambdaY","Lvalue","estPar","shape_se","lambda_se","D","detects","AICc","pred","lwr","upr"
"hale_kaku",3,"Abudefduf abdominalis","10_20",21.4734615510579,0.357026190505477,7.99997301500963,28.2814456389196,3,100.637901316727,2.66664859731459,0.473244587295618,24,0.515588083008942,0.446172439694021,0.15346177880958,0.925313401347017
"hale_kaku",3,"Abudefduf abdominalis","5_10",7.53373380642609,1,224.666671716543,5560.66846684238,2,0.00597584273472238,74.8884094657404,13.0600223756802,674,-13.2290634601457,12.4026219417393,5.33857057413228,23.9128428464719
"hale_kaku",3,"Abudefduf sordidus","10_20",3.07092872727819,2.47480158505233,3.3333355170145,47.4528268625879,3,1.13638821269481,1.11111236570113,0.195471817402368,10,2.28052780222173,0.150314677057735,0,0.630240697359492
"hale_kaku",3,"Abudefduf sordidus","20_30",7.01762872962295,1.35373448382854,2.66666760020471,21.5147725890605,3,15.6738232220771,0.88888926026461,0.195473443039667,8,5.86252040728793,0.16264341007473,0,0.561836403640099
"hale_kaku",3,"Abudefduf vaigiensis","10_20",21.389139012652,0.353986624814941,6.99999194656975,41.7198519883428,3,42.8451713839245,6.99998362904339,0.408952337277818,7,6.53804583522478,0.390497635076822,0.115621946346059,0.857359647256345
"hale_kaku",3,"Abudefduf vaigiensis","5_10",3.17584555191398,2.08959251154328,6.99992792232416,92.5200653695793,3,0.554047329332088,3.49992779697978,0.358434284399277,14,-0.654851087816752,0.301090249965934,0.0550516873810065,0.999688341331432
"hale_kaku",3,"Acanthurus blochii","10_20",8.31725757067539,1,31.6666584996489,1044.63507330106,2,0.0383719203774059,10.5555501820837,2.03225119710029,95,-9.77241099990742,1.94563330881632,0.840780955233306,3.92259474167875
"hale_kaku",3,"Acanthurus nigroris","10_20",1.36544293065595,8.41125449364718,100.330866294149,1754.20935564353,3,0.00608002566574691,33.4428681716609,8.89127181427361,301,-8.85873896876232,6.89042671561991,0.489499049183788,28.3316142967793
"hale_kaku",3,"Acanthurus nigroris","5_10",10.3880702818194,1,2.99999957168918,49.4885972158585,2,0.824706275655204,0.999999490934247,0.240464555525735,9,-1.80348456752457,0.21209845606026,0,0.647983703127374
"hale_kaku",3,"Acanthurus triostegus","10_20",3.52302581033151,1,24.499999211415,48.8257961013088,2,0.338872413068168,12.2499989973107,0.666004086226211,49,-3.51564799843891,0.601123275948406,0.151032250482159,1.64861109432389
"hale_kaku",3,"Acanthurus xanthopterus","10_20",8.13407347722792,1,21.0000000599705,116.992271541229,2,0.212359446589355,7.00000016688728,1.31802116905548,63,-5.32421575482569,1.23353992541582,0.495525564500808,2.62853641273941
"hale_kaku",3,"Acanthurus xanthopterus","20_30",4.73287944828442,1,3.00000029691305,14.6140669949653,2,0.708714366732689,1.49999996481831,0.10955740547922,6,2.63603088468226,0.0910141808478969,0,0.336805698354339
"hale_kaku",3,"Caranx melampygus","30_40",2.47968751490236,1,6.49999374842039,12.3883670186556,2,0.673125496463238,3.24999359784584,0.124366923957573,13,0.166484222755988,0.100170812309276,0.0149623101230738,0.381066055234547
"hale_kaku",3,"Chaetodon auriga","10_20",1.82037987520498,3.60648503722014,40.6659070911821,207.23039831425,3,0.0818254809772862,13.5550512446067,2.06002088263654,122,-4.46427258876218,1.70069650237689,0.211625069474029,5.99348521110644
"hale_kaku",3,"Chaetodon ephippium","10_20",3.7870655520681,1.01561180178056,10.3332483128943,85.0017680124042,3,0.676770007469005,3.44438769557119,0.306663738474304,31,-1.99645522395097,0.264946651283387,0.0585160925256346,0.803902679282514
"hale_kaku",3,"Chaetodon lineolatus","10_20",6.29171768305084,1,9.50005647633942,34.2281210621257,2,0.645110477434555,4.7500564186537,0.461201183041407,19,-2.31609511896411,0.421604228611383,0.12009887045143,1.06471714129658
"hale_kaku",3,"Chaetodon lunulatus","10_20",9.41011529754828,1,40.6666670919954,1288.41089337703,2,0.0849470164494787,13.5555473706477,2.95276254708865,122,-10.2214894086383,2.83846242433826,1.25406625867566,5.48894991727263
"hale_kaku",3,"Chlorurus perspicillatus","10_20",3.60502603854926,0.970865397317306,3.66667256066164,29.642912578076,3,1.98505166414378,1.22222597023063,0.0990226525120073,11,2.65012530713651,0.0808431758463092,0.00475485466270686,0.294727846243293
"hale_kaku",3,"Chlorurus perspicillatus","20_30",4.59644110792319,0.932399370029014,10.5000159902284,90.8085444031901,3,0.938583286970401,5.25001589060255,0.347223116206439,21,-1.60574205919107,0.301526954605569,0.0809303734930393,0.833475230691911
"hale_kaku",3,"Chlorurus spilurus","10_20",4.56750537540554,0.788178043287565,14.3333574719766,90.7085792679777,3,0.864652936107464,4.77779393412787,0.398149642556758,43,-2.39991926891818,0.347489120832287,0.0990913390788282,0.921457091635258
"hale_kaku",3,"Ctenochaetus strigosus","10_20",3.93948777159108,1,16.9999997848075,104.498233705382,2,0.0679059726336546,8.49999952319237,0.516753790658181,34,-4.91124356364881,0.458995834804426,0.120691782177129,1.24031514464882
"hale_kaku",3,"Gomphosus varius","10_20",3.90540235080998,1.48510680458399,9.66660920578713,78.5605501362016,3,0.937617303738852,3.22218382782233,0.432606092489886,29,-1.7677393335475,0.371766679061139,0.0923006539512837,1.10206368305132
"hale_kaku",3,"Gomphosus varius","20_30",5.0824014156881,0.806706237313037,8.49995628539601,62.6927280879244,3,1.61672315351089,4.24995615792813,0.268903260892779,17,-0.430337076753747,0.233999177127574,0.061690626668916,0.632020302895858
